track_id,action,pass_success,target_gap_s,relative_speed_kph,drs_available,straight_remaining_m,braking_zone_m,track_overtake_difficulty,ego_tyre_grip_estimate,target_tyre_grip_estimate,target_tyre_uncertainty,laps_remaining,rear_gap_s,rear_drs_risk,cars_within_3s,post_pass_traffic_gap_s,recent_sector_delta_s,action_energy_level
hist_monza_like,PARTIAL_DEPLOY,0,1.742,16.95,True,797.4,117.3,0.3,0.66,0.525,0.253,20,1.67,0.0,0,0.359,0.09,1
hist_monza_like,HARVEST,1,1.269,12.75,True,597.8,139.9,0.3,0.867,0.903,0.23,52,2.044,0.0,1,1.1,-0.113,-1
hist_monza_like,HARVEST,0,1.641,24.31,False,836.6,93.5,0.3,0.833,0.946,0.26,40,0.64,0.573,2,2.77,0.146,-1
hist_monza_like,HARVEST,1,1.6,17.66,True,818.2,98.5,0.3,0.821,0.628,0.339,43,3.379,0.0,4,2.645,-0.132,-1
hist_monza_like,PARTIAL_DEPLOY,1,0.689,17.96,False,812.4,97.6,0.3,0.774,0.79,0.181,9,2.378,0.0,6,2.852,0.228,1
hist_monza_like,FULL_DEPLOY,0,1.066,-4.36,True,644.1,175.6,0.3,0.687,0.845,0.127,9,0.627,0.582,2,2.564,0.276,2
hist_monza_like,HARVEST,0,1.358,25.67,False,578.9,106.3,0.3,0.827,0.781,0.411,47,1.588,0.0,3,1.22,-0.066,-1
hist_monza_like,FULL_DEPLOY,0,0.545,3.37,False,260.8,160.6,0.3,0.912,0.587,0.321,37,3.447,0.0,3,2.354,0.042,2
hist_monza_like,HOLD,1,1.652,23.04,True,650.0,168.7,0.3,0.772,0.546,0.388,55,0.524,0.651,0,2.337,0.286,0
hist_monza_like,FULL_DEPLOY,0,0.274,26.87,False,972.3,169.6,0.3,0.922,0.687,0.209,24,0.902,0.399,0,1.25,0.455,2
hist_monza_like,PARTIAL_DEPLOY,0,1.604,-0.18,True,761.2,102.5,0.3,0.832,0.702,0.052,6,0.165,0.89,1,2.538,-0.271,1
hist_monza_like,HARVEST,0,1.575,3.32,True,577.0,111.5,0.3,0.806,0.78,0.075,54,3.177,0.0,4,1.701,-0.177,-1
hist_monza_like,PARTIAL_DEPLOY,0,0.916,16.52,True,458.1,97.7,0.3,0.94,0.53,0.26,33,2.774,0.0,4,1.752,0.148,1
hist_monza_like,PARTIAL_DEPLOY,1,0.582,-4.43,False,757.4,121.0,0.3,0.843,0.783,0.359,48,2.673,0.0,1,0.324,-0.351,1
hist_monza_like,FULL_DEPLOY,1,1.964,11.75,True,807.6,174.9,0.3,0.565,0.591,0.366,3,1.173,0.218,2,1.643,0.238,2
hist_monza_like,HOLD,1,0.644,25.17,True,637.2,149.0,0.3,0.659,0.86,0.225,26,2.627,0.0,3,1.149,0.119,0
hist_monza_like,PARTIAL_DEPLOY,1,1.622,20.45,True,427.0,139.1,0.3,0.678,0.536,0.314,20,1.616,0.0,5,1.393,-0.223,1
hist_monza_like,PARTIAL_DEPLOY,0,1.268,10.22,False,520.3,161.2,0.3,0.573,0.802,0.212,33,2.824,0.0,5,0.648,0.381,1
hist_monza_like,FULL_DEPLOY,0,0.166,-2.65,False,551.6,141.1,0.3,0.792,0.806,0.43,24,1.609,0.0,0,1.807,0.146,2
hist_monza_like,HOLD,0,1.925,-4.09,True,622.2,136.6,0.3,0.915,0.553,0.36,46,1.617,0.0,4,1.0,0.201,0
hist_monza_like,HARVEST,0,0.959,26.45,True,843.4,166.1,0.3,0.678,0.656,0.076,35,1.087,0.275,2,2.584,0.159,-1
hist_monza_like,PARTIAL_DEPLOY,0,1.067,-0.75,True,316.4,102.5,0.3,0.866,0.512,0.272,24,1.689,0.0,4,0.563,0.055,1
hist_monza_like,FULL_DEPLOY,0,1.099,21.92,False,1009.5,147.8,0.3,0.73,0.806,0.188,54,2.753,0.0,5,1.846,0.24,2
hist_monza_like,HARVEST,1,1.68,13.13,True,571.6,104.6,0.3,0.924,0.601,0.429,34,3.143,0.0,6,0.421,0.166,-1
hist_monza_like,PARTIAL_DEPLOY,0,1.267,-1.73,False,484.2,105.4,0.3,0.8,0.906,0.185,37,0.24,0.84,6,0.279,-0.144,1
hist_monza_like,HOLD,1,1.557,9.58,False,710.5,134.8,0.3,0.801,0.63,0.433,31,0.933,0.378,6,2.118,-0.023,0
hist_monza_like,FULL_DEPLOY,1,0.89,11.26,True,834.8,118.7,0.3,0.945,0.655,0.209,49,1.36,0.093,4,0.497,0.312,2
hist_monza_like,HOLD,0,0.284,5.16,True,726.6,145.4,0.3,0.649,0.889,0.114,21,3.275,0.0,5,1.076,0.019,0
hist_monza_like,FULL_DEPLOY,1,1.77,12.41,True,520.1,111.7,0.3,0.783,0.522,0.163,39,3.1,0.0,5,2.083,0.137,2
hist_monza_like,HOLD,0,1.777,20.46,False,668.7,122.9,0.3,0.71,0.757,0.128,36,1.081,0.279,3,1.612,0.015,0
hist_monza_like,HARVEST,1,0.344,-1.62,True,841.0,122.9,0.3,0.608,0.771,0.211,3,0.254,0.831,1,2.198,-0.021,-1
hist_monza_like,HOLD,1,0.723,16.46,True,478.8,179.2,0.3,0.846,0.635,0.185,54,1.833,0.0,3,2.184,-0.113,0
hist_monza_like,HARVEST,0,1.962,15.43,False,614.6,92.4,0.3,0.74,0.935,0.363,50,2.067,0.0,1,2.22,-0.302,-1
hist_monza_like,FULL_DEPLOY,0,0.381,18.83,True,604.0,175.3,0.3,0.594,0.509,0.175,10,1.504,0.0,1,1.349,0.07,2
hist_monza_like,HARVEST,0,1.441,13.15,False,821.1,123.9,0.3,0.933,0.707,0.263,35,1.305,0.13,6,2.629,-0.003,-1
hist_monza_like,FULL_DEPLOY,0,0.465,3.63,False,404.6,110.2,0.3,0.939,0.634,0.166,14,2.447,0.0,3,1.088,-0.271,2
hist_monza_like,PARTIAL_DEPLOY,0,0.647,15.07,True,769.2,121.1,0.3,0.859,0.566,0.067,46,0.369,0.754,3,2.037,-0.122,1
hist_monza_like,PARTIAL_DEPLOY,1,1.873,19.37,True,545.9,145.4,0.3,0.785,0.609,0.318,34,0.867,0.422,1,0.347,-0.272,1
hist_monza_like,HOLD,1,0.11,14.26,False,357.6,169.1,0.3,0.741,0.59,0.436,21,1.07,0.287,0,2.742,0.258,0
hist_monza_like,HARVEST,1,1.835,1.13,False,754.5,105.8,0.3,0.918,0.949,0.209,32,0.733,0.511,5,2.894,0.366,-1
hist_monza_like,HARVEST,1,1.864,6.73,True,534.6,170.0,0.3,0.604,0.727,0.159,52,0.483,0.678,1,2.247,-0.189,-1
hist_monza_like,PARTIAL_DEPLOY,0,1.602,14.87,False,458.3,105.8,0.3,0.892,0.904,0.381,33,1.215,0.19,3,2.074,0.044,1
hist_monza_like,HOLD,0,0.113,8.43,True,635.7,142.4,0.3,0.779,0.618,0.194,16,0.311,0.793,0,1.503,0.178,0
hist_monza_like,PARTIAL_DEPLOY,0,1.412,17.35,False,842.6,123.1,0.3,0.638,0.931,0.241,30,2.642,0.0,4,1.246,-0.131,1
hist_monza_like,HOLD,0,1.548,18.81,False,692.6,137.5,0.3,0.695,0.913,0.095,54,1.962,0.0,4,0.766,-0.238,0
hist_monza_like,FULL_DEPLOY,0,0.321,2.19,False,629.5,98.2,0.3,0.754,0.864,0.231,33,1.512,0.0,4,0.362,-0.353,2
hist_monza_like,FULL_DEPLOY,0,0.583,-4.89,True,791.2,153.0,0.3,0.766,0.527,0.408,31,0.208,0.861,3,0.704,0.093,2
hist_monza_like,FULL_DEPLOY,1,0.811,26.2,True,811.6,172.5,0.3,0.701,0.536,0.436,35,0.552,0.632,6,1.174,0.108,2
hist_monza_like,HOLD,0,1.686,21.47,False,417.4,128.2,0.3,0.702,0.603,0.234,10,1.037,0.309,5,2.343,0.073,0
hist_monza_like,HARVEST,0,0.557,-2.64,False,694.3,130.2,0.3,0.819,0.892,0.148,3,1.468,0.021,1,1.711,0.01,-1
hist_monza_like,PARTIAL_DEPLOY,0,0.545,27.07,False,421.8,163.7,0.3,0.645,0.894,0.444,34,0.852,0.432,2,0.97,-0.161,1
hist_monza_like,HOLD,0,1.289,9.95,True,580.0,177.5,0.3,0.927,0.802,0.364,21,2.467,0.0,3,0.618,-0.239,0
hist_monza_like,HOLD,0,0.671,19.77,False,815.8,177.1,0.3,0.773,0.56,0.147,14,1.223,0.185,0,2.782,-0.131,0
hist_monza_like,HOLD,0,0.198,8.2,False,595.9,93.6,0.3,0.579,0.862,0.285,43,2.0,0.0,3,0.785,0.142,0
hist_monza_like,HOLD,0,1.881,28.67,True,821.3,111.8,0.3,0.792,0.592,0.416,36,1.193,0.205,2,1.266,-0.001,0
hist_monza_like,FULL_DEPLOY,0,0.985,23.1,False,620.3,158.5,0.3,0.678,0.591,0.175,3,2.013,0.0,1,2.276,0.253,2
hist_monza_like,FULL_DEPLOY,1,0.661,1.87,True,548.0,139.6,0.3,0.927,0.652,0.355,32,3.386,0.0,5,2.271,-0.064,2
hist_monza_like,HOLD,0,1.469,12.09,False,709.4,138.8,0.3,0.807,0.526,0.064,55,0.353,0.765,6,2.071,0.019,0
hist_monza_like,HOLD,1,0.229,0.29,True,599.0,147.4,0.3,0.924,0.911,0.314,2,0.122,0.919,4,1.352,0.019,0
hist_monza_like,PARTIAL_DEPLOY,1,0.133,23.46,False,675.2,162.6,0.3,0.914,0.548,0.089,10,0.919,0.387,4,1.674,0.063,1
hist_monza_like,PARTIAL_DEPLOY,0,1.923,11.06,True,608.8,164.5,0.3,0.582,0.946,0.31,3,0.418,0.721,3,1.256,-0.16,1
hist_monza_like,HARVEST,0,1.05,10.19,False,682.1,140.9,0.3,0.893,0.543,0.261,3,0.881,0.413,6,2.138,-0.145,-1
hist_monza_like,PARTIAL_DEPLOY,0,1.809,14.72,True,767.5,176.5,0.3,0.785,0.839,0.335,26,3.258,0.0,2,0.655,-0.075,1
hist_monza_like,PARTIAL_DEPLOY,0,0.829,20.89,False,934.1,152.0,0.3,0.581,0.835,0.188,7,1.586,0.0,6,0.413,-0.218,1
hist_monza_like,PARTIAL_DEPLOY,1,0.156,4.57,False,509.6,174.7,0.3,0.723,0.806,0.314,6,2.725,0.0,2,2.435,0.011,1
hist_monza_like,HOLD,1,1.505,6.08,True,589.6,90.5,0.3,0.673,0.662,0.158,9,0.397,0.735,3,1.457,-0.193,0
hist_monza_like,PARTIAL_DEPLOY,1,1.153,15.89,False,665.5,127.2,0.3,0.862,0.826,0.274,16,2.045,0.0,1,2.119,-0.024,1
hist_monza_like,HOLD,0,0.22,10.21,True,753.9,133.6,0.3,0.581,0.613,0.149,41,1.786,0.0,4,0.748,0.133,0
hist_monza_like,PARTIAL_DEPLOY,0,1.699,8.3,False,501.9,164.1,0.3,0.81,0.767,0.17,39,3.321,0.0,1,1.541,0.078,1
hist_monza_like,FULL_DEPLOY,0,1.939,22.37,True,785.8,115.2,0.3,0.864,0.664,0.423,13,2.114,0.0,4,0.704,0.005,2
hist_monza_like,HOLD,0,0.933,5.2,False,762.2,126.8,0.3,0.75,0.785,0.147,43,0.624,0.584,3,2.409,-0.323,0
hist_monza_like,FULL_DEPLOY,0,1.115,27.32,False,855.6,127.6,0.3,0.565,0.936,0.331,52,1.925,0.0,5,2.76,0.117,2
hist_monza_like,HOLD,0,1.329,-3.45,False,583.3,157.7,0.3,0.936,0.694,0.054,17,0.855,0.43,5,1.653,-0.181,0
hist_monza_like,FULL_DEPLOY,1,0.98,18.78,False,554.9,103.6,0.3,0.949,0.717,0.168,6,0.495,0.67,5,0.597,-0.084,2
hist_monza_like,FULL_DEPLOY,0,0.762,-1.58,False,596.5,94.0,0.3,0.834,0.51,0.187,7,2.402,0.0,1,2.804,0.022,2
hist_monza_like,PARTIAL_DEPLOY,1,1.164,28.55,True,469.6,126.5,0.3,0.624,0.788,0.223,2,2.607,0.0,1,1.459,-0.017,1
hist_monza_like,PARTIAL_DEPLOY,1,1.529,23.31,True,894.1,106.8,0.3,0.68,0.706,0.155,32,1.894,0.0,5,1.078,0.242,1
hist_monza_like,PARTIAL_DEPLOY,0,1.706,16.61,False,746.5,153.5,0.3,0.669,0.777,0.084,9,1.165,0.223,1,1.055,0.126,1
hist_monza_like,FULL_DEPLOY,0,1.233,15.12,True,464.4,172.7,0.3,0.922,0.578,0.117,19,0.577,0.615,2,2.558,0.021,2
hist_monza_like,FULL_DEPLOY,1,0.359,23.53,False,445.1,135.5,0.3,0.748,0.808,0.216,54,1.609,0.0,1,0.431,0.332,2
hist_monza_like,PARTIAL_DEPLOY,0,0.527,5.1,False,413.5,134.6,0.3,0.754,0.758,0.157,35,2.899,0.0,2,1.718,-0.138,1
hist_monza_like,HOLD,0,1.981,-1.42,False,396.8,157.6,0.3,0.669,0.95,0.23,23,3.031,0.0,0,1.429,0.346,0
hist_monza_like,PARTIAL_DEPLOY,0,1.736,16.36,True,454.0,163.2,0.3,0.872,0.757,0.263,39,1.932,0.0,2,2.941,-0.234,1
hist_monza_like,HARVEST,1,0.358,21.25,True,838.6,95.3,0.3,0.661,0.795,0.331,9,0.949,0.367,5,1.102,0.006,-1
hist_monza_like,HOLD,0,1.197,4.41,True,447.0,169.2,0.3,0.587,0.732,0.161,24,1.646,0.0,3,1.116,0.084,0
hist_monza_like,FULL_DEPLOY,0,1.306,19.41,False,654.0,161.6,0.3,0.709,0.936,0.38,32,1.013,0.325,6,0.994,-0.101,2
hist_monza_like,PARTIAL_DEPLOY,0,1.799,21.68,True,449.6,91.5,0.3,0.922,0.571,0.233,28,0.788,0.475,5,2.746,-0.271,1
hist_monza_like,PARTIAL_DEPLOY,1,0.277,7.62,True,564.2,149.8,0.3,0.81,0.523,0.3,47,2.478,0.0,1,1.402,0.075,1
hist_monza_like,HARVEST,0,0.352,2.92,False,881.0,163.5,0.3,0.945,0.69,0.103,5,0.878,0.415,0,2.246,0.018,-1
hist_monza_like,HOLD,0,0.827,23.47,False,728.0,147.7,0.3,0.821,0.531,0.275,40,2.31,0.0,3,1.183,0.076,0
hist_monza_like,FULL_DEPLOY,0,1.734,-1.97,True,653.1,124.6,0.3,0.935,0.642,0.106,18,2.292,0.0,1,1.75,-0.267,2
hist_monza_like,HARVEST,0,1.711,18.04,True,529.4,136.6,0.3,0.754,0.837,0.168,4,2.765,0.0,6,2.873,-0.098,-1
hist_monza_like,HARVEST,1,1.104,29.22,False,723.0,167.5,0.3,0.777,0.664,0.323,49,1.701,0.0,6,0.404,-0.043,-1
hist_monza_like,HARVEST,0,1.902,8.93,True,637.0,154.1,0.3,0.857,0.691,0.211,41,1.924,0.0,4,0.628,0.07,-1
hist_monza_like,HOLD,0,1.119,8.68,False,764.9,96.0,0.3,0.829,0.828,0.389,4,0.931,0.379,3,0.525,-0.261,0
hist_monza_like,HOLD,0,0.327,19.78,False,617.3,104.7,0.3,0.931,0.735,0.363,47,0.981,0.346,2,0.555,0.031,0
hist_monza_like,HARVEST,0,0.737,10.03,True,616.9,146.5,0.3,0.748,0.73,0.072,55,2.027,0.0,2,0.64,0.542,-1
hist_monza_like,HARVEST,0,0.534,12.81,True,335.4,167.7,0.3,0.648,0.712,0.203,10,0.708,0.528,6,0.299,0.104,-1
